Unnamed: 0,ref,city,departement,region,titre,type,living_area_m2,lot_size_m2,nb_room,nb_bedroom,pool,cellar,garage,output
6437,/fr/properties/58577a-159.htm,Périgueux,Dordogne,Aquitaine,Terrain de 10 595 m² à Périgueux,terrain,10595.0,10600.0,,,False,False,False,988000
6438,/fr/properties/58672a-CTMAI146.htm,Moustey,Landes,Aquitaine,Belle maison landaise 165m2 -6 pièces-,maison,165.0,3200.0,6.0,4.0,False,False,True,232000
6439,/fr/properties/77503.htm,Ginestet,Dordogne,Aquitaine,Ferme Agricole,autre,250.0,270000.0,,,False,False,False,220000
6440,/fr/properties/2756a-25157841.htm,Lormont,Gironde,Aquitaine,Maison,maison,188.0,1362.0,5.0,4.0,True,True,True,585000
6441,/fr/properties/13185a-1303.htm,Carsac-Aillac,Dordogne,Aquitaine,Belle maison contemporaine,maison,110.0,6000.0,4.0,2.0,False,False,False,262000
6442,/fr/properties/34759a-114958cl.htm,Bergerac,Dordogne,Aquitaine,Maison/Villa 9 pièces,autre,287.0,201.0,9.0,6.0,False,False,True,397000
6443,/fr/properties/29644a-3302114552.htm,Saint-Aubin-de-Médoc,Gironde,Aquitaine,Maison,maison,171.0,1000.0,6.0,5.0,False,False,False,656250
6444,/fr/properties/19483a-4636.htm,Auradou,Lot-et-Garonne,Aquitaine,Maison traditionnelle sur 13000 M2,maison,143.0,13100.0,7.0,3.0,False,False,True,263157
6445,/fr/properties/20949a-s2249.htm,Brantôme,Dordogne,Aquitaine,Plain Pied Sur Sous Sol,autre,120.0,4315.0,4.0,2.0,False,False,False,159900
6446,/fr/properties/13311a-3300914551.htm,Lesparre-Médoc,Gironde,Aquitaine,Terrain,terrain,,260.0,,,False,False,False,45300
6447,/fr/properties/44945a-m607.htm,Soorts-Hossegor,Landes,Aquitaine,"Seignosse, Maison Contemporaine, Plage Et Lac D'hossegor A Pied",maison,350.0,1819.0,10.0,5.0,True,False,False,1695000
6448,/fr/properties/19483a-4637.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,Maison Plain Pied Proche Commodites Avec Jardin,maison,80.0,600.0,3.0,2.0,False,False,True,119000
6449,/fr/properties/1419a-2706.htm,Sauveterre-la-Lémance,Lot-et-Garonne,Aquitaine,Maison de campagne,maison,240.0,10000.0,8.0,4.0,True,False,True,409500
6450,/fr/properties/35382a-432.htm,Montferrand-du-Périgord,Dordogne,Aquitaine,"Très joli corps de ferme entièrement restauré composé d'un séjour de 56m², cusine de 26m², salle à m",autre,266.0,8495.0,10.0,4.0,False,False,False,351700
