list_ville,list_departement,list_region
sencenac-puy-de-fourches,,
juillac,,
fossès-et-baleyssac,,
roaillan,,
pellegrue,,
taillecavat,,
serres-morlaàs,,
navailles-angos,,
saint-médard-en-jalles,,
moirax,,
hinx,,
sourzac,,
sarrazac,,
saint-pardoux-la-rivière,,
monplaisant,,
marsalès,,
montagnac-sur-auvignon,,
auterrive,,
parleboscq,,
eyrans,,
mouguerre,,
plaisance,,
saugnac-et-cambran,,
nérac,,
feugarolles,,
biarrotte,,
teuillac,,
le pizou,,
saint-sauveur,,
lolme,,
margaux,,
ciboure,,
manzac-sur-vern,,
saint-pé-saint-simon,,
massels,,
ambarès-et-lagrave,,
saint-méard-de-gurçon,,
saint-amand-de-coly,,
morlanne,,
irissarry,,
urt,,
candresse,,
pinel-hauterive,,
saint-martial-de-nabirat,,
saint-antoine-de-breuilh,,
puymiclan,,
montaut,,
hendaye,,
faux,,
port-sainte-foy-et-ponchapt,,
lugos,,
saint-magne,,
castel-sarrazin,,
mugron,,
jurançon,,
sault-de-navailles,,
badefols-sur-dordogne,,
lunas,,
cazalis,,
larzac,,
canéjan,,
lauzun,,
josse,,
la roche-chalais,,
annesse-et-beaulieu,,
yvrac,,
saint-aubin-de-médoc,,
eygurande-et-gardedeuil,,
bertric-burée,,
geaune,,
atur,,
beaussac,,
dieulivol,,
riocaud,,
saint-front-la-rivière,,
maransin,,
lamothe-landerron,,
paunat,,
clermont,,
cambo-les-bains,,
lahontan,,
villars,,
saint-nexans,,
cubjac,,
livron,,
uchacq-et-parentis,,
herm,,
siest,,
gornac,,
beauregard-de-terrasson,,
lanouaille,,
saint-pardoux-isaac,,
belvès-de-castillon,,
cours,,
vieux-mareuil,,
limeyrat,,
condat-sur-trincou,,
saint-michel-de-double,,
nabirat,,
etauliers,,
champagnac-de-belair,,
cagnotte,,
marsaneix,,
mauvezin-d'armagnac,,
gauriaguet,,
puyoô,,
saint-pée-sur-nivelle,,
bonnetan,,
casseuil,,
domme,,
anglade,,
saint-aubin-de-branne,,
sendets,,
saint-lon-les-mines,,
villeneuve,,
saint-sulpice-de-pommiers,,
saint-georges-de-montclard,,
pailloles,,
anthé,,
ambès,,
saint-pierre-de-côle,,
sort-en-chalosse,,
pey,,
saint-crépin-et-carlucet,,
saint-maurin,,
sames,,
condat-sur-vézère,,
campagnac-lès-quercy,,
gastes,,
bourg,,
saussignac,,
arbis,,
morlaàs,,
sainte-eulalie-d'eymet,,
herré,,
bidache,,
villefranque,,
came,,
queyrac,,
saint-médard-de-mussidan,,
labastide-d'armagnac,,
izon,,
saint-martin-de-hinx,,
saint-cyr-les-champagnes,,
martillac,,
montferrand-du-périgord,,
hasparren,,
orriule,,
couze-et-saint-front,,
le fleix,,
saint-gervais,,
teillots,,
saint-macaire,,
nérigean,,
cours-de-monségur,,
parempuyre,,
pontonx-sur-l'adour,,
saint-léon-sur-l'isle,,
villeneuve-de-marsan,,
le puy,,
mazères-lezons,,
monsac,,
lavergne,,
billère,,
cézac,,
martignas-sur-jalle,,
saint-léon-sur-vézère,,
lesgor,,
pyla-sur-mer,,
arx,,
saint-raphaël,,
monestier,,
argelouse,,
augignac,,
louer,,
saint-vivien-de-monségur,,
carsac-aillac,,
monfaucon,,
fauillet,,
saint-seurin-de-prats,,
beauville,,
pompignac,,
orist,,
cénac,,
lussas-et-nontronneau,,
savignac-de-miremont,,
langoiran,,
saint-laurent-d'arce,,
beaupouyet,,
sainte-maure-de-peyriac,,
cubnezais,,
lormont,,
oloron-sainte-marie,,
salaunes,,
saint-vivien-de-médoc,,
arzacq-arraziguet,,
cubzac-les-ponts,,
guiche,,
lons,,
arjuzanx,,
sauguis-saint-etienne,,
laroin,,
douchapt,,
fours,,
la croix-blanche,,
margueron,,
saint-denis-de-pile,,
saint-paul-en-born,,
saint-germain-du-salembre,,
sore,,
buros,,
ostabat-asme,,
burgaronne,,
cocumont,,
queyssac,,
ygos-saint-saturnin,,
bassussarry,,
lacaussade,,
campet-et-lamolère,,
asasp-arros,,
amou,,
colombier,,
mouleydier,,
vendays-montalivet,,
cessac,,
la tour-blanche,,
savignac-lédrier,,
eglise-neuve-d'issac,,
saint-quentin-de-caplong,,
saint-ciers-sur-gironde,,
creysse,,
eyzerac,,
la bachellerie,,
carsac-de-gurson,,
azur,,
labastide-villefranche,,
serres-castet,,
saint-cybranet,,
taron-sadirac-viellenave,,
les lèches,,
espès-undurein,,
eysus,,
geüs-d'oloron,,
uhart-cize,,
trémolat,,
corgnac-sur-l'isle,,
mauléon-licharre,,
valojoulx,,
la douze,,
lannes,,
camblanes-et-meynac,,
meilhan-sur-garonne,,
sauvagnon,,
lugon-et-l'ile-du-carnay,,
castillon-la-bataille,,
bizanos,,
lagorce,,
ahetze,,
escource,,
montagne,,
les salles-de-castillon,,
salagnac,,
bars,,
eaux-bonnes,,
port-de-lanne,,
soussac,,
reignac,,
cars,,
sablons,,
azerat,,
razac-sur-l'isle,,
saint-germain-des-prés,,
saint-symphorien,,
saubusse,,
saint-aubin,,
lembras,,
beauronne,,
galgon,,
varaignes,,
linxe,,
la lande-de-fronsac,,
marcillac,,
saint-sulpice-et-cameyrac,,
saint-vincent-de-connezac,,
rion-des-landes,,
audrix,,
vensac,,
coslédaà-lube-boast,,
bassillac,,
lanquais,,
saint-estèphe,,
saint-antoine-de-ficalba,,
saint-agne,,
saint-paul,,
mouzens,,
lamonzie-montastruc,,
saint-andré-de-double,,
beleymas,,
pauillac,,
neuffons,,
hélette,,
ustaritz,,
villamblard,,
avensan,,
fonroque,,
floirac,,
gouts,,
aureilhan,,
la chapelle-aubareil,,
jau-dignac-et-loirac,,
soulac-sur-mer,,
saint-justin,,
brach,,
le verdon-sur-mer,,
saint-seurin-de-cadourne,,
lagupie,,
castelmoron-sur-lot,,
urcuit,,
baigts-de-béarn,,
siorac-de-ribérac,,
pardies,,
idron,,
boussès,,
castéra-loubix,,
saint-hilaire-de-la-noaille,,
campsegret,,
loupes,,
poyanne,,
la cassagne,,
saint-pompont,,
montazeau,,
saint-pierre-d'eyraud,,
archignac,,
préchac,,
larressore,,
saint-capraise-de-lalinde,,
ordonnac,,
bourdalat,,
vergt-de-biron,,
montgaillard,,
sagelat,,
tocane-saint-apre,,
espiet,,
vertheuil,,
saint-jean-de-côle,,
rébénacq,,
cunèges,,
bournel,,
hautefort,,
ossages,,
saint-martin-d'arrossa,,
civrac-en-médoc,,
cendrieux,,
cussac-fort-médoc,,
saint-michel-de-montaigne,,
saint-andré-et-appelles,,
lamothe-montravel,,
la roquille,,
caplong,,
talais,,
saint-front-sur-lémance,,
fontet,,
condezaygues,,
oraàs,,
naujan-et-postiac,,
saint-martial-d'albarède,,
podensac,,
saint-martin-de-gurson,,
saint-léon-d'issigeac,,
labatut,,
vieux-boucau-les-bains,,
biron,,
saint-laurent-la-vallée,,
bosdarros,,
saint-philippe-du-seignal,,
saint-caprais-de-blaye,,
brocas,,
chalais,,
loubès-bernac,,
carlux,,
coursac,,
saint-christoly-de-blaye,,
echourgnac,,
peyrière,,
isle-saint-georges,,
montardon,,
cadouin,,
saint-romain-de-monpazier,,
liposthey,,
castets,,
saint-vincent-de-cosse,,
saint-marcel-du-périgord,,
saubrigues,,
naujac-sur-mer,,
saint-avit,,
saint-pantaly-d'excideuil,,
lahourcade,,
sainte-bazeille,,
la gonterie-boulouneix,,
prats-du-périgord,,
cuzorn,,
pezuls,,
bergouey-viellenave,,
paleyrac,,
saint-martin-de-fressengeas,,
sembas,,
carcans,,
sarbazan,,
agnac,,
monein,,
eyvirat,,
saint-laurent-de-gosse,,
montrem,,
champs-romain,,
bardos,,
rauzan,,
flaujagues,,
osserain-rivareyte,,
saint-sauveur-de-meilhan,,
sainte-foy-de-belvès,,
biras,,
javerlhac-et-la-chapelle-saint-robert,,
agmé,,
massugas,,
