ref,city,county,district,area_m2,ground_m2,nb_room,nb_bedroom,pool,cellar,garage,output
/fr/properties/38496a-8500262633.htm,Bordeaux,Gironde,Aquitaine,90,,5,3,,True,True,482000
/fr/properties/59682a-greg3917.htm,Boé,Lot-et-Garonne,Aquitaine,100,964,5,3,,,True,175000
/fr/properties/52652a-ag231-435mz.htm,Lalinde,Dordogne,Aquitaine,120,1440,6,3,,,,144050
/fr/properties/78421a-vm446-gitese.htm,Monségur,Gironde,Aquitaine,240,1200,9,4,True,True,,406175
/fr/properties/54830a-s20190808.htm,Carbon-Blanc,Gironde,Aquitaine,200,,8,5,,,True,477000
/fr/properties/30145a-1652.htm,Sauveterre-de-Béarn,Pyrénées-Atlantiques,Aquitaine,,8600,6,3,True,,,290000
/fr/properties/46085a-735000.htm,Bruges,Gironde,Aquitaine,70,,3,2,,True,True,260000
/fr/properties/38496a-8500262630.htm,Mérignac,Gironde,Aquitaine,125,300,5,3,,,True,488000
/fr/properties/7066a-6344.htm,Castillon-la-Bataille,Gironde,Aquitaine,120,520,5,3,,,,107000
/fr/properties/17048a-6403473548.htm,Lescar,Pyrénées-Atlantiques,Aquitaine,105,1000,6,4,,,,259500
/fr/properties/54830a-p20191006.htm,Quinsac,Gironde,Aquitaine,78,,3,2,,,True,279000
/fr/properties/10740a-08013.htm,Duras,Lot-et-Garonne,Aquitaine,234,14700,8,4,,,,310000
/fr/properties/34522a-8380.htm,Montpon-Ménestérol,Dordogne,Aquitaine,50,3000,2,,,,,108000
/fr/properties/185571a-734831.htm,Montfort-en-Chalosse,Landes,Aquitaine,316,3183,9,6,,,,283000
/fr/properties/10740a-07940.htm,Duras,Lot-et-Garonne,Aquitaine,200,300,7,5,,,,170000
/fr/properties/67040a-7501186862.htm,Nantheuil,Dordogne,Aquitaine,400,10400,7,5,,,,724000
/fr/properties/128200a-733143.htm,Saint-Laurent-Médoc,Gironde,Aquitaine,130,941,6,3,,,,272000
/fr/properties/54830a-c20191203.htm,Bordeaux,Gironde,Aquitaine,86,,4,3,,,True,565000
/fr/properties/10740a-08004.htm,Monségur,Gironde,Aquitaine,350,10600,8,5,,,,1150000
/fr/properties/82400a-et324.htm,Monsempron-Libos,Lot-et-Garonne,Aquitaine,140,604,9,4,True,,True,259000
/fr/properties/10740a-08015.htm,Monségur,Gironde,Aquitaine,196,14000,10,3,,,,424000
/fr/properties/76280a-8500262619.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,54,,3,2,,,,310000
/fr/properties/36833a-124897cc.htm,Tonneins,Lot-et-Garonne,Aquitaine,,2340,,,,,,39600
/fr/properties/8211a-6403673544.htm,Pau,Pyrénées-Atlantiques,Aquitaine,230,1280,10,7,,,True,449000
/fr/properties/185562a-733886.htm,Bordeaux,Gironde,Aquitaine,56,,3,2,,,,285000
/fr/properties/54830a-aq20190203n7.htm,Le Bouscat,Gironde,Aquitaine,145,202,5,3,,,True,637000
/fr/properties/76280a-8500262599.htm,Anglet,Pyrénées-Atlantiques,Aquitaine,138,358,6,4,True,,True,1300000
/fr/properties/84686a-8493-SF.htm,Pineuilh,Gironde,Aquitaine,116,950,4,3,,,,172800
/fr/properties/61431a-6405173547.htm,Morlaàs,Pyrénées-Atlantiques,Aquitaine,159,2268,6,3,,,,238000
/fr/properties/47973a-735009.htm,Sarlat-la-Canéda,Dordogne,Aquitaine,228,5127,7,6,,,,365000
/fr/properties/30693a-124932rp.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,78,,4,3,,True,True,572000
/fr/properties/10740a-07962.htm,Duras,Lot-et-Garonne,Aquitaine,155,45000,7,3,,,,328000
/fr/properties/67040a-7501186873.htm,Puyrenier,Dordogne,Aquitaine,600,13000,10,8,,True,True,750000
/fr/properties/67045a-7501186893.htm,Terrasson-Lavilledieu,Dordogne,Aquitaine,300,4400,9,6,True,,True,405000
/fr/properties/54830a-u20190810n4.htm,Bordeaux,Gironde,Aquitaine,69,,3,2,,,True,299000
/fr/properties/54830a-ak20190302.htm,Branne,Gironde,Aquitaine,1000,,12,10,True,,True,2500000
/fr/properties/59682a-greg3846.htm,Agen,Lot-et-Garonne,Aquitaine,146,,4,3,,,,300000
/fr/properties/54830a-v20190810n1.htm,Bordeaux,Gironde,Aquitaine,122,,6,4,,,True,549000
/fr/properties/67040a-7501186830.htm,Escoire,Dordogne,Aquitaine,557,8700,,,,,,371000
/fr/properties/54830a-r20190810n5.htm,Portets,Gironde,Aquitaine,160,1087,5,4,True,,True,390000
/fr/properties/268a-ea1159-xml.htm,Labastide-d'Armagnac,Landes,Aquitaine,321,41200,9,5,,,,345000
/fr/properties/36833a-124889cc.htm,Tonneins,Lot-et-Garonne,Aquitaine,140,240,4,3,,,,86000
/fr/properties/127203a-734946.htm,Blanquefort,Gironde,Aquitaine,98,353,4,3,,,,289500
/fr/properties/185555a-728398.htm,Izon,Gironde,Aquitaine,164,905,6,5,,,,330000
/fr/properties/41596a-735185.htm,Saint-Martin-de-Hinx,Landes,Aquitaine,138,826,7,4,,,,265000
/fr/properties/26469a-222844magmav.htm,Gradignan,Gironde,Aquitaine,127,310,6,5,,,,322000
/fr/properties/54830a-am20190503.htm,Beautiran,Gironde,Aquitaine,170,1300,6,4,True,,True,538000
/fr/properties/67032a-7501186866.htm,La Force,Dordogne,Aquitaine,191,3303,5,4,,,True,299000
/fr/properties/54830a-t20190810n6.htm,Bordeaux,Gironde,Aquitaine,140,,6,4,,,,597000
/fr/properties/38078a-8500262635.htm,Montpon-Ménestérol,Dordogne,Aquitaine,145,1695,6,4,True,,True,295000
/fr/properties/54830a-r20190810n7.htm,Bordeaux,Gironde,Aquitaine,225,940,7,4,,,True,998000
/fr/properties/26469a-218379magmav.htm,Mérignac,Gironde,Aquitaine,122,,6,4,,,,363900
/fr/properties/54830a-ak20190112.htm,Bordeaux,Gironde,Aquitaine,290,320,10,6,True,,True,1590000
/fr/properties/54830a-q20190208n1.htm,Bordeaux,Gironde,Aquitaine,72,,2,,,,True,450000
/fr/properties/67073a-7501186786.htm,Bergerac,Dordogne,Aquitaine,283,11100,8,4,True,,True,453500
/fr/properties/34477a-ed27498.htm,Mensignac,Dordogne,Aquitaine,258,4244,9,6,,,True,325972
/fr/properties/12889a-830030596896.htm,Bidart,Pyrénées-Atlantiques,Aquitaine,210,1500,9,4,True,,True,895000
/fr/properties/55957a-7226b.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,137,500,7,4,,,True,147000
/fr/properties/53723a-604.htm,Marcheprime,Gironde,Aquitaine,100,432,4,3,,,True,346500
/fr/properties/55957a-7259a.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,119,,4,3,,,True,178500
/fr/properties/182561a-27.htm,Dolmayrac,Lot-et-Garonne,Aquitaine,150,3000,4,3,True,,True,286900
/fr/properties/67073a-7501186792.htm,Bergerac,Dordogne,Aquitaine,280,9561,8,4,True,True,True,490000
/fr/properties/54830a-i20191102.htm,Bazas,Gironde,Aquitaine,165,,5,3,,,,197950
/fr/properties/17050a-246936.htm,Bergerac,Dordogne,Aquitaine,130,2400,5,4,True,,True,265000
/fr/properties/38747a-ml1656.htm,Payzac,Dordogne,Aquitaine,105,11000,5,2,True,,,170000
/fr/properties/54830a-w20190802.htm,Grignols,Gironde,Aquitaine,83,6000,3,2,,,True,181900
/fr/properties/55957a-7150f.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,124,605,6,4,,,,159600
/fr/properties/67073a-7501186783.htm,Bergerac,Dordogne,Aquitaine,268,3600,7,4,True,,True,400000
/fr/properties/54830a-s20190901.htm,Langon,Gironde,Aquitaine,90,,4,3,,,True,218250
/fr/properties/55957a-7197c.htm,Cancon,Lot-et-Garonne,Aquitaine,100,900,5,3,,,,136500
/fr/properties/182561a-33.htm,Sainte-Livrade-sur-Lot,Lot-et-Garonne,Aquitaine,350,,7,6,True,True,True,498200
/fr/properties/67073a-7501186788.htm,Saussignac,Dordogne,Aquitaine,260,12600,6,4,True,,True,771000
/fr/properties/54830a-o20191003.htm,Léogeats,Gironde,Aquitaine,190,1169,7,4,,,True,271575
/fr/properties/54830a-u20191008.htm,Langon,Gironde,Aquitaine,95,1480,5,3,,,True,234300
/fr/properties/67073a-7501186789.htm,Bergerac,Dordogne,Aquitaine,275,3144,9,7,True,,True,495000
/fr/properties/7066a-6341.htm,Libourne,Gironde,Aquitaine,155,5092,7,5,,,True,353000
/fr/properties/21384a-5377.htm,Saint-Cyr-les-Champagnes,Dordogne,Aquitaine,102,2566,4,2,,,,149500
/fr/properties/67073a-7501186779.htm,Bergerac,Dordogne,Aquitaine,260,20900,6,5,True,True,True,400000
/fr/properties/54830a-y20190806.htm,Marmande,Lot-et-Garonne,Aquitaine,350,3500,10,6,,,True,375000
/fr/properties/54830a-u20190904.htm,Bazas,Gironde,Aquitaine,84,649,5,3,True,,True,174945
/fr/properties/24053a-bvi18153.htm,Ribérac,Dordogne,Aquitaine,270,8125,8,5,,,,296800
/fr/properties/94702.htm,Saint-Palais,Pyrénées-Atlantiques,Aquitaine,70,2000,4,3,,,True,180000
/fr/properties/38747a-bl-566.htm,Martillac,Gironde,Aquitaine,59,,3,2,,,True,199000
/fr/properties/55957a-7267.htm,Lédat,Lot-et-Garonne,Aquitaine,130,3639,7,3,True,,True,262500
/fr/properties/179101a-2986.htm,Billère,Pyrénées-Atlantiques,Aquitaine,91,,4,3,,True,True,262500
/fr/properties/54830a-x20191014.htm,Langon,Gironde,Aquitaine,215,2980,8,5,True,,True,465000
/fr/properties/17050a-246937.htm,Bergerac,Dordogne,Aquitaine,175,1214,6,4,True,,True,225000
/fr/properties/170571a-idiade6593.htm,Saint-Aubin-de-Blaye,Gironde,Aquitaine,320,2839,10,6,,,,477000
/fr/properties/26469a-225134cas.htm,Saint-Front-de-Pradoux,Dordogne,Aquitaine,143,2855,4,3,,,,254775
/fr/properties/54830a-k20191104.htm,Langon,Gironde,Aquitaine,206,1321,10,5,True,,True,395000
/fr/properties/38747a-bl-537.htm,Bordeaux,Gironde,Aquitaine,75,,3,2,,,True,333000
/fr/properties/7066a-6343.htm,Nérigean,Gironde,Aquitaine,85,2777,5,3,,,True,254000
/fr/properties/59987a-3393.htm,Lugos,Gironde,Aquitaine,127,12000,7,4,,,True,518000
/fr/properties/55957a-7162c.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,180,3500,6,4,,,True,215250
/fr/properties/66633a-202001.htm,La Teste-de-Buch,Gironde,Aquitaine,150,880,5,4,True,,True,1190000
/fr/properties/67073a-7501186791.htm,Lalinde,Dordogne,Aquitaine,210,13000,6,3,True,True,True,449000
/fr/properties/17050a-246934.htm,Bergerac,Dordogne,Aquitaine,242,5138,6,5,,,True,279575
/fr/properties/54830a-x20190801.htm,Auros,Gironde,Aquitaine,192,7000,6,3,,,True,266250
/fr/properties/26469a-223432mga.htm,Bègles,Gironde,Aquitaine,77,,3,2,,,,275500
